id,question,intent,course,course_code,branch,semester,unit
31856,Would a retired researcher mentor a postdoc with his/her own external funding? What about one without external funding?,campus_life_and_student_services,,,,,
13326,Why are there limits on scholarship amounts for graduate students?,campus_life_and_student_services,,,,,
20064,How to select the principal investigator in a group?,campus_life_and_student_services,,,,,
8311,Where should I look to see if any funding is available for an industry-based research to attend and present at academic conference?,campus_life_and_student_services,,,,,
17258,Using up grant money before a deadline - I am aware that grants often only provide the earned money over a certain period of time. And if the money is not used up by the end of that,campus_life_and_student_services,,,,,
30555,At which point in your PhD should you feel like you're in the edge of human knowledge/ know exactly what is your contribution?,campus_life_and_student_services,,,,,
31057,European COST Actions - I would like to ask if you think  the European COST Actions are interesting for researchers? Do you see any potential advantage to join any,campus_life_and_student_services,,,,,
24335,Studying at university - How do I get the motivation to study for a test for university? I was a high achiever in high school but I just don't feel motivated to stud,campus_life_and_student_services,,,,,
10970,"Citing a reference multiple times - I am trying to write an introduction to a grant proposal (not for actual research, but because it is part of an assignment that was given to",campus_life_and_student_services,,,,,
12479,"Phd interview question - Just wondering if anyone has ever been asked this question during a PhD interview: If you get a place without funding, would you be able/wil",campus_life_and_student_services,,,,,
23704,Idea stolen from proposal. What are my options?,campus_life_and_student_services,,,,,
271,"How to determine whether a position is ""faculty-equivalent""?",campus_life_and_student_services,,,,,
7636,"How do professors spend their NSF grants? - If a professor receives $200,000 as the PI (not co-PI) from the NSF, how many PhD students can he/she take as Research Assistant (with yearl",campus_life_and_student_services,,,,,
32242,Difference between internal and external doctoral studies in Germany,campus_life_and_student_services,,,,,
29004,How much of a grad-school dissertation fellowship should I personally keep?,campus_life_and_student_services,,,,,
28208,What do I do about my lab head misattributing my grant proposal?,campus_life_and_student_services,,,,,
28469,How to calculate the rate to pay a recruiting agency for new students?,campus_life_and_student_services,,,,,
24825,Scholarships and SOP - Should I mention that my work is providing me with a full scholarship to study my masters in my Statment of purpose?,campus_life_and_student_services,,,,,
13702,"Professor expects me to attend a conference. I can't afford to go,even with 50% funding",campus_life_and_student_services,,,,,
9045,Using grants to make donations to institutions for using their resources/products?,campus_life_and_student_services,,,,,
11181,how to ask help from an area expert and getting feedback?,campus_life_and_student_services,,,,,
26413,A potential PhD supervisor wants me to visit campus for an interview before I know if I'm accepted,campus_life_and_student_services,,,,,
20496,Paper excluded from conference proceedings - Last year I submitted a paper to a IEEE conference that was going to be held in the US. I got funding from my university and registered to a,campus_life_and_student_services,,,,,
26073,Why aren't there submission fees for submitting papers to conferences?,campus_life_and_student_services,,,,,
31601,Do I not have the personality for a PhD? - I've been in the PhD program for a couple years now and I feel like people have a lot of expectations about the way I should think and feel,campus_life_and_student_services,,,,,
6989,What happens to NSF funding when someone passes away?,campus_life_and_student_services,,,,,
23999,"Switching REU recommender, good excuse? - My professor who I thought would write me a stellar recommendation recently ceded that he feels he must be up front in my recommendation let",campus_life_and_student_services,,,,,
9806,Sending students for conference presentation with no additional funding,campus_life_and_student_services,,,,,
6748,What does it mean to be offered waived-fee OA publishing?,campus_life_and_student_services,,,,,
20599,Can PhD students turn down teaching assistantships?,campus_life_and_student_services,,,,,
29336,Working as an Academic researcher difficulties,campus_life_and_student_services,,,,,
12056,How to tell advisor I'm declining a scholarship?,campus_life_and_student_services,,,,,
24368,Rejecting a PhD offer after giving promise to the supervisor to work with him,campus_life_and_student_services,,,,,
29149,Salary of Marie Skłodowska-Curie Actions Fellowships,campus_life_and_student_services,,,,,
2936,"Why and how do professors go for sabbatical? - I read several questions about sabbatical leaves in this website. When checking a faculty list, it is common that some are on sabbatical lea",campus_life_and_student_services,,,,,
30133,Can applicants answer faculty campus interview questions while checking their notes?,campus_life_and_student_services,,,,,
12532,Professor is upset about student comments about her lectures. What should I do?,campus_life_and_student_services,,,,,
8634,Is it right to ask for a PhD position at a conference?,campus_life_and_student_services,,,,,
3603,Does it make sense to pay tuition fees for a PhD degree?,campus_life_and_student_services,,,,,
33220,Can I put a tuition fee remission on my CV under scholarships?,campus_life_and_student_services,,,,,
2182,What should I do if I cannot afford a journal Article Processing Charge?,campus_life_and_student_services,,,,,
16625,Are there any known Universities that refuse to pay for paywall access to academic journals?,campus_life_and_student_services,,,,,
11056,How/whether to update PhD admissions committee about new scholarship,campus_life_and_student_services,,,,,
1972,Problems with gift authorships on papers and how to solve it,campus_life_and_student_services,,,,,
3929,Is it common to ask for reference letters from members of the MSc thesis committee when applying for PhD/Scholarships?,campus_life_and_student_services,,,,,
26580,"Unemployed after 1st postdoc, what should my affiliation be when introduced during campus visit & job talk?",campus_life_and_student_services,,,,,
15322,Message board for finding private grants - I am a PhD student studying in the US and I am interested in finding research-grants relevant to the research area to which I have recently,campus_life_and_student_services,,,,,
27827,What is the typical cost of Summer Course education in the US?,campus_life_and_student_services,,,,,
33322,How fungible are personnel salary allocations in an NIH grant?,campus_life_and_student_services,,,,,
24152,Why are contributions to the education of the broader public not valued much within academia?,campus_life_and_student_services,,,,,
6291,Can I still ask my prospective advisor (guide) for a confirmation letter in the middle of Covid-19,campus_life_and_student_services,,,,,
32827,"Is it possible to run two postdocs simultaneously if one of them is ""independent""?",campus_life_and_student_services,,,,,
12349,What to mention as funding source as a graduate student funded by the school?,campus_life_and_student_services,,,,,
2707,"First paper, conference feedback - at all if rejected?",campus_life_and_student_services,,,,,
31944,Why aren't scientists richer? - I am an undergrad right now and I want to go into research. My question is not about whether I will be able to become rich (I am okay with a,campus_life_and_student_services,,,,,
25570,"What is scholarship score in paper review? - I got paper reviews and I found there is an item scholarship,     Can anyone tell what is scholarship score mean in paper review?",campus_life_and_student_services,,,,,
16306,Asking research committee about on-campus interview,campus_life_and_student_services,,,,,
5146,Can it be disadvantageous to actively publish in completely different fields?,campus_life_and_student_services,,,,,
128,Do US universities publish an official definition of what constitutes a particular race/ethnicity in the context of scholarships or admissions?,campus_life_and_student_services,,,,,
33337,How can I find a list of my co-authors for a grant conflict of interest?,campus_life_and_student_services,,,,,
4063,Is TAing a necessary evil? - My understanding is that Masters and PhD students often need to TA -- even if they're already research assistants to a professor.   I'm a fi,campus_life_and_student_services,,,,,
20068,Getting a Research Grant for Carrying out Research as Independent Researcher in my home country,campus_life_and_student_services,,,,,
18460,Host Institution - Marie-Curie individual fellowship,campus_life_and_student_services,,,,,
31108,"If I use non-government funds to pay for flight on non-U.S. carrier, can I then use government funds for other costs of that trip?",campus_life_and_student_services,,,,,
8543,"In an interview, should I greet a professor I know in one of his speech?",campus_life_and_student_services,,,,,
19814,"Being personal in motivational letter - I'm starting to prepare my application for scholarships to do MSc in Europe. One of the requirements, of course, is the motivational letter.",campus_life_and_student_services,,,,,
7626,How to politely request payment for extra hours of TA service rendered?,campus_life_and_student_services,,,,,
33895,What counts as a research experience in mathematics?,campus_life_and_student_services,,,,,
12655,Could Brexit negatively affect PhD students in the UK who are EU nationals?,campus_life_and_student_services,,,,,
17535,"How do I get out of my problem of not achieving results, feelings of worthlessness, guilt and rejection?",campus_life_and_student_services,,,,,
13992,Does the NSF support researchers with no academic affiliation?,campus_life_and_student_services,,,,,
32905,How to respond to a PhD supervisor? - I have contacted a potential PhD supervisor and he sent me back that I appear to be a motivated and interested student but  his funding does,campus_life_and_student_services,,,,,
34138,"Strategy as to when to apply to PhD programs - I'm a master's student in CS at a top-20 school (in the US), in my second year (although it feels like my first year since I had to play cat",campus_life_and_student_services,,,,,
12770,What should I focus on when asking for conference travel support?,campus_life_and_student_services,,,,,
8011,How to phrase an email in response to an unreasonable action by a superior?,campus_life_and_student_services,,,,,
18346,Implications of being accepted without funding to a computer science PhD in the United States?,campus_life_and_student_services,,,,,
14385,How long does it take for PhD scholarship from DAAD,campus_life_and_student_services,,,,,
16561,NSF postdoctoral fellowship eligibility requirements,campus_life_and_student_services,,,,,
16129,Why do sites that host papers not have a comments section for each paper?,campus_life_and_student_services,,,,,
27557,Is repurposing money from companies easier than repurposing money from federal grants?,campus_life_and_student_services,,,,,
16905,Graduate admission for mature Computer Science school teacher,campus_life_and_student_services,,,,,
21406,Does giving compliments to the fellowship help?,campus_life_and_student_services,,,,,
23840,"Do Professors Get An Education ""Allowance""? - One of the most common things I think any students has seen is walking into the office of a professor to a miniature library of textbooks an",campus_life_and_student_services,,,,,
17788,How to get (a payed?) feedback with discussion?,campus_life_and_student_services,,,,,
7564,Will I get rejected because PI cannot show funding?,campus_life_and_student_services,,,,,
15335,My R01 application was re-assigned to a study section that doesn't seem like a good fit (NIH),campus_life_and_student_services,,,,,
5747,ieee membership discount on overlength manuscripts,campus_life_and_student_services,,,,,
14038,Is it okay to join a self-funded PhD Program with possibility/intention of leaving in future for funded position,campus_life_and_student_services,,,,,
1306,"Contacted the head of a group I want to join, but she didn't reply. What to do now?",campus_life_and_student_services,,,,,
32851,"Lack of passion from the beginning of my PhD - I chose my current PhD position because of funding limitation and the reputation of my institute last year. After a year, it's a disaster, b",campus_life_and_student_services,,,,,
23071,How to disclose a major change in scope from orignal F31 submission,campus_life_and_student_services,,,,,
15701,will a lab feel deterred from hiring me if my undergrad thesis is in a different subfield?,campus_life_and_student_services,,,,,
22618,Thinking about quitting the Ph.D. because I feel depressed in this town?,campus_life_and_student_services,,,,,
18751,What is a concise citation format for grant proposals given constraints on page counts?,campus_life_and_student_services,,,,,
20027,How to get feedback on unfinished research papers if I don't have any direct contact with people qualified in my field?,campus_life_and_student_services,,,,,
1810,"Date of PhD award Oxbridge - This question is similar to the date of PhD award in France, but for the case of Oxbridge (maybe all of UK, but I don't know). There is the",campus_life_and_student_services,,,,,
25564,"Good questions for post-class survey - In order to get feedback more quickly, I've seen some teachers run a quick (certainly no more than 5 minutes), entirely optional, anonymous",campus_life_and_student_services,,,,,
34076,Missing funding deadline for serious reasons: what to do?,campus_life_and_student_services,,,,,
784,Who evaluates Marie Curie Intra-European Fellowship proposals?,campus_life_and_student_services,,,,,
29012,Applying to a full time lecturer post in the UK in a psychology related field,campus_life_and_student_services,,,,,
30811,"How is tenure-track start-up in Europe? - After 2 postdoc positions, I applied for tenure-track assistant professor positions. I am from mechanical engineering and my research is str",campus_life_and_student_services,,,,,
999,Researcher with Startup Company - Conflicts of Interest?,campus_life_and_student_services,,,,,
5159,Asking the other professor (as other paper's co-author) to cover the conference expenses,campus_life_and_student_services,,,,,
24924,What happens when a PhD student finishes the thesis but is forced to defend way after the contract ends?,campus_life_and_student_services,,,,,
21578,Feeling regret for sending my code to my classmate,campus_life_and_student_services,,,,,
32017,Can a researcher hire 100% themself with funds from H2020 project (or other call)?,campus_life_and_student_services,,,,,
9061,"What's the difference between ""research grant"" and ""fellowship"" ? (what to choose for a postdoc?)",campus_life_and_student_services,,,,,
8138,Should I feel bad for applying to two postdoc positions?,campus_life_and_student_services,,,,,
29058,Do price and value of degrees correlate much?,campus_life_and_student_services,,,,,
6642,What are the options for fellowships for international grad students in USA?,campus_life_and_student_services,,,,,
14635,Is it appropriate to bring coffee and cookies to a PhD defense?,campus_life_and_student_services,,,,,
13430,Finding and requesting research funds from private sponsors for basic research with low short term marketability value,campus_life_and_student_services,,,,,
19114,Current adviser trying to switch me to a different adviser,campus_life_and_student_services,,,,,
15817,Going to study PhD abroad with weak economic backing?,campus_life_and_student_services,,,,,
1812,"Sources to cover open-access fees - As this question mentions and as I know from my (limited) experience, some journals demand a high fee to make the articles you submit to be",campus_life_and_student_services,,,,,
18970,Should I apply for the scholarships if I currently have a RA position in my supervisor lab?,campus_life_and_student_services,,,,,
19428,"APA citation: book versus electronic book - I obtain many of my reading sources from online, instead of form a hardcopy in the library, even for books or book sections. The APA citatio",campus_life_and_student_services,,,,,
19630,"Reviews, feedback and comments from collaborators/supervisors when writing in RMarkdown",campus_life_and_student_services,,,,,
16686,Do grad students in the USA typically have more or less student debt than undergrads?,campus_life_and_student_services,,,,,
31243,Where to find successful proposals of previous ERC calls?,campus_life_and_student_services,,,,,
31855,Overly long review process (>2 years) without feedback,campus_life_and_student_services,,,,,
24662,"If I request a paper through my university library, must they pay a substantial amount of money?",campus_life_and_student_services,,,,,
32826,How do theorists obtain summer funding after the beginning of February?,campus_life_and_student_services,,,,,
17269,"If interviewing for a postdoc by Skype, how to get a feel for the lab culture?",campus_life_and_student_services,,,,,
12703,Grad student asking department for increase in stipend,campus_life_and_student_services,,,,,
14087,How do I refuse to work on military-focused contracts?,campus_life_and_student_services,,,,,
18342,Where does the funding in business school PhD programs typically come from?,campus_life_and_student_services,,,,,
10371,"A faculty member turned me down because of lack of funding. If the university announces funding is available, should I apply anyway?",campus_life_and_student_services,,,,,
2884,Is it legit to change from one university to another?,campus_life_and_student_services,,,,,
16497,Graduate student titles on funded research proposal,campus_life_and_student_services,,,,,
9151,Funding situation if I have passed GATE but lack CSIR-JRF NET,campus_life_and_student_services,,,,,
16021,"As a graduate, is creating a log-in in the university online campus considered an acceptance of their offer?",campus_life_and_student_services,,,,,
22157,Should I take OSAP (student loans) even if I can pay for my tuition?,campus_life_and_student_services,,,,,
26395,How to solicit feedback from students about faculty candidates?,campus_life_and_student_services,,,,,
20049,how universities treat faculty according to teaching feedback questionaires filled by students,campus_life_and_student_services,,,,,
27858,"Why do some fellowships require ""leadership experience""?",campus_life_and_student_services,,,,,
5592,Phrasing for one current fellowship and one previous fellowship,campus_life_and_student_services,,,,,
8179,"Would a legitimate journal send unsolicited email to an author offering to feature an article in their own publication, for a fee?",campus_life_and_student_services,,,,,
16671,"At United States PhD programs, is the research / TA stipend taxed as income tax?",campus_life_and_student_services,,,,,
16555,How to best present a PhD application when moving from professional work without a masters or honours degree?,campus_life_and_student_services,,,,,
11470,Should I mention about my governmental-funded PhD scholarship which I don't want to use,campus_life_and_student_services,,,,,
3532,Travel grant for summer conference between PhD and first job?,campus_life_and_student_services,,,,,
22783,How important is the availability of funding of a professor as a factor to determine one's thesis advisor?,campus_life_and_student_services,,,,,
11402,I used feedback from the code review SE for an assignment. Do I have to mark it?,campus_life_and_student_services,,,,,
25266,Is paying researchers royalties for publications a bad idea?,campus_life_and_student_services,,,,,
25919,"I've been admitted to multiple PhD programs, how should I choose between them?",campus_life_and_student_services,,,,,
32801,"First year PhD without advisor, or experience, or a clue about research",campus_life_and_student_services,,,,,
28087,Can an applicant's funding offer for PhD programs in the US be taken back and given to someone who's already declined it?,campus_life_and_student_services,,,,,
18983,Reviving a Rejected Proposal -- Question on Ethical Considerations,campus_life_and_student_services,,,,,
3565,Concern about possible conflicts between research sharing policies,campus_life_and_student_services,,,,,
29581,Search if a term already exists in an older research,campus_life_and_student_services,,,,,
31675,Updating CV with Grant Funding Awarded but not used/PI internally but not externally on grants and contracts,campus_life_and_student_services,,,,,
13377,How to acknowledge funding - This question expands a bit on my previous one Acknowledging funding.  I am unsure how to write proper acknowledgments at the end of a resea,campus_life_and_student_services,,,,,
14488,How to feel less guilt about teaching? - I just got a permanent position. Hooray!  My question is the opposite of this one (that popped out as a suggestion from this site): How to c,campus_life_and_student_services,,,,,
12607,Should citations be included in funding applications,campus_life_and_student_services,,,,,
21906,Is there funding for non-research related projects?,campus_life_and_student_services,,,,,
13427,What are possible outcomes when a PhD cannot be completed during the funding period?,campus_life_and_student_services,,,,,
20984,Is there any way to pressure textbook publishers to reduce price?,campus_life_and_student_services,,,,,
23107,Can I withdraw an accepted paper if the fees are higher than expected because the proof is longer?,campus_life_and_student_services,,,,,
5532,Does any country have free college & open admissions?,campus_life_and_student_services,,,,,
29461,Is it ethical to submit a research proposal to multiple funding agencies?,campus_life_and_student_services,,,,,
908,How many on-campus interviews (for a tenure track math position) do you typically need to get one offer?,campus_life_and_student_services,,,,,
2125,Asking professors’ help on proposal - I am applying to a master program. The application requires a pre-proposal for a project that is relevant to scholarships. Although I have a,campus_life_and_student_services,,,,,
8454,Does the NSF award grants to foreign researchers not affiliated with US instutitions?,campus_life_and_student_services,,,,,
26076,Does it cost universities less to teach online?,campus_life_and_student_services,,,,,
30300,"Pre-submission peer review services - There are many websites offering pre-submission review services for a fee of several hunderd dollars, e.g., editage, editeon, enago and othe",campus_life_and_student_services,,,,,
7683,U.S. universities on-campus residence for International PhD students?,campus_life_and_student_services,,,,,
25636,"As a Ph.D. advisor, how do you feel about taking on students with diagnosed depression or bipolar disorder?",campus_life_and_student_services,,,,,
1393,Should I mention the reason I changed labs so often on my C.V. and/or cover letter? (Due to lack of funding),campus_life_and_student_services,,,,,
22075,Time management as a TA in mathematics - I just started being a TA in mathematics at a university in continental Europe. My big problem is my time management: I feel like I don't ha,campus_life_and_student_services,,,,,
31746,Best way to poll students during a class by web,campus_life_and_student_services,,,,,
12354,What action can be taken if hostel allotments are not out just after admissions are done?,campus_life_and_student_services,,,,,
17811,Grant proposal: How to answer question about Promotion of equality and non-discrimination,campus_life_and_student_services,,,,,
23631,Should I drop out of grad school? - I have just completed my first year of grad school. I am currently in a enormous amount of debt from undergrad. I want to continue but I am,campus_life_and_student_services,,,,,
19736,Are ERC starting grant preparation courses worth it?,campus_life_and_student_services,,,,,
15334,"Grant fraud, should I bust my PhD advisor? - tl;dr: Should I report this large grant fraud, and what consequences could it have for me?  For obvious reasons, I will try to maintain some",campus_life_and_student_services,,,,,
15968,"Selling/Buying software in academia - I have written multiple opensource programs as part of my PhD, and some of these programs require a dedicated server somewhere on the intern",campus_life_and_student_services,,,,,
4627,"Why is the admission process centralized, when the professor who is actually funding may not be in the committee?",campus_life_and_student_services,,,,,
25494,Which are the funding options for a Postdoc in Denmark?,campus_life_and_student_services,,,,,
14898,"Why do undergraduates pay for their education, but postgraduates are paid?",campus_life_and_student_services,,,,,
18043,Sharing google scholar library - I'd like to share my google scholar library with some of my colleagues though wasn't able to find any relevant information online. Is it pos,campus_life_and_student_services,,,,,
26104,"Why do big funders not act as publishers? - Scientific publishing absorbs a lot of money from the budgets of scientific organisations, either by publication fees or subscription fees,",campus_life_and_student_services,,,,,
17352,How to find host institution - Marie-Curie individual fellowship,campus_life_and_student_services,,,,,
9439,Mitigating Circumstances for dissertation - being charged extra fees,campus_life_and_student_services,,,,,
15103,Avoiding the appearance of name dropping in fellowship applications,campus_life_and_student_services,,,,,
16536,Is it acceptable to ask the editor for feedback about a review I wrote?,campus_life_and_student_services,,,,,
13133,Is offering to use personal funds for research a good idea?,campus_life_and_student_services,,,,,
32750,How the US Dept of Education define a school year for purposes of Pell Grant eligibility?,campus_life_and_student_services,,,,,
26362,How to ask for expanding scholarship duration from grad school?,campus_life_and_student_services,,,,,
13893,"Why don't high-ranking journals go solo? - There are so many debates and criticisms around the topic of publishers, who are accused of charging excessive fees for access when all the",campus_life_and_student_services,,,,,
17961,"My master thesis supervisor wants me to continue as his PhD student, but he has no funds at the moment. Any advice?",campus_life_and_student_services,,,,,
4520,Accepting a scholarship for masters just to get the money and fund a future masters,campus_life_and_student_services,,,,,
5849,Should I make 2 applications to the same university,campus_life_and_student_services,,,,,
13549,"Paid twice by university for ""same"" research: how to proceed?",campus_life_and_student_services,,,,,
30918,solution to questions of lab equipments and funding search during faculty interview,campus_life_and_student_services,,,,,
17324,"How does funding at UK universities work? - The process for obtaining funding for graduate work in the UK seems much different than it is in the US. In particular, in the UK, funding d",campus_life_and_student_services,,,,,
8765,Has anyone transfered from an MPhil to a Phd?,campus_life_and_student_services,,,,,
32160,"Marie Curie IF, can secondments be hosted by my PhD institution?",campus_life_and_student_services,,,,,
9708,Donating money to scientific research after my death,campus_life_and_student_services,,,,,
18861,Acknowledging funding - I often read in research articles acknowledgments such as     The first author is (partially) supported by a grant of the National Science F,campus_life_and_student_services,,,,,
15580,How likely is it for an international student to secure graduate funding for a subject like Psychology?,campus_life_and_student_services,,,,,
30476,About to write my PhD thesis and I don't know the basics and fundamentals. I am feeling unworthy of the PhD title. What should I do?,campus_life_and_student_services,,,,,
31603,How do you (digitally) catalog the books you've read over the years?,campus_life_and_student_services,,,,,
10960,Travel Budget for Faculty Members in USA - How much budget do faculty members in US  have to travel to conferences every year?   I am looking for the average travel support in CS or E,campus_life_and_student_services,,,,,
6498,How do I ask professors to give feedback on my online articles that are based on their work?,campus_life_and_student_services,,,,,
8716,"PhD advisor lost funding, need advice - I am an international PhD student in an engineering department in US and was fully funded for all two years, but just two weeks before the f",campus_life_and_student_services,,,,,
10176,Pharmacy graduate: What are my chances of obtaining a scholarship for physics graduate studies?,campus_life_and_student_services,,,,,
5168,Lack of team support in post-PhD Mathematics career,campus_life_and_student_services,,,,,
29846,How effective is it to fund a researcher as opposed to a research idea?,campus_life_and_student_services,,,,,
14134,Do I have to disclose the exchange program of participating student as funding in a paper?,campus_life_and_student_services,,,,,
7366,Prizes and awards: what about travel grants? - I am applying for various postdoc grants at the moment. They all have some section concerning Prizes and Awards. While I understand that thi,campus_life_and_student_services,,,,,
6576,Is listener's fees in a conference justified?,campus_life_and_student_services,,,,,
27355,Legality of downloading books from websites such as Library Genesis,campus_life_and_student_services,,,,,
197,Postdoc in Paris with foreign funding - I am moving to Paris for a postdoc in spring 2021 and I have received funding from Denmark for two years. I am considering whether administe,campus_life_and_student_services,,,,,
33468,"If I buy a research article, will I get any potential retraction statement or erratum free of charge?",campus_life_and_student_services,,,,,
14442,lab relations and busy professor - I am currently in a lab that I feel I cannot grow sufficiently in and am considering changing labs. The background is I chose to join this l,campus_life_and_student_services,,,,,
2041,How will the success of my previous projects affect future funding?,campus_life_and_student_services,,,,,
10430,Why ask both for CV and publication list? - Some academic job posts and grant applications require submitting both a CV and a publication list. I would have thought that it is a standa,campus_life_and_student_services,,,,,
3033,"How to quote a draft in my thesis? - For my bachelor thesis I needed a certain source. As it wasn't accessible neither on the net, nor in my library, I decided to ask the author",campus_life_and_student_services,,,,,
16047,What time of the year do government agencies in the United States typically hand out funding?,campus_life_and_student_services,,,,,
5667,"In the EU, can I start an R&D company and apply for research grants?",campus_life_and_student_services,,,,,
13644,Citation feed for scholarly works - Is there a site that can provide me a feed of scholarly works that cite another scholarly work as they are published?,campus_life_and_student_services,,,,,
26623,"Paid position at a US lab - Can one get paid while conducting research at a US university lab, without being a staff, student, visiting student, or a postdoctoral fello",campus_life_and_student_services,,,,,
2572,Is it usually allowed to use grant money for voluntary contributions?,campus_life_and_student_services,,,,,
17279,PhD scholarship in nanoporous material; how to advertise?,campus_life_and_student_services,,,,,
1329,Does publishing a manuscript in a respectable journal increase chances of getting a scholarship?,campus_life_and_student_services,,,,,
25805,Travel reimbursement for interview after accepting another position,campus_life_and_student_services,,,,,
15533,List of 2013 US National Merit Scholars - I am doing research that requires me to find a list of how many US National Merit Scholars were enrolled at each university for 2013.   I ca,campus_life_and_student_services,,,,,
4348,"Funding during graduate study (phd, masters) in math in the US",campus_life_and_student_services,,,,,
24616,"Should I finish my PhD? - I have one more year until finishing my PhD. I feel that I will have a mediocre PhD thesis, at best. I feel like quitting, and I had this fe",campus_life_and_student_services,,,,,
11500,Should I acknowledge funding from an unrelated project?,campus_life_and_student_services,,,,,
307,Is this a good enough reason for not taking an educational loan?,campus_life_and_student_services,,,,,
20061,How to overcome feeling that published articles lack public interest?,campus_life_and_student_services,,,,,
2617,"What can be listed as ""invited talks"" on your CV?",campus_life_and_student_services,,,,,
19287,"how to find conferences that allow sit-in's - For faculty lack of funding, how to find conferences that allow people to sit in without paying? For those that don't allow officially, will",campus_life_and_student_services,,,,,
5401,How many candidates are usually invited for a campus interview?,campus_life_and_student_services,,,,,
12440,How much actual funding does a Marie Curie fellowship entail?,campus_life_and_student_services,,,,,
34174,Writing postdoc fellowship before contacting postdoc advisor?,campus_life_and_student_services,,,,,
3967,"Not getting along with Spanish professor. Professor is condescending, and picks favorites. I feel I have enough evidence to do something",campus_life_and_student_services,,,,,
17617,How to get access to university resources after graduation?,campus_life_and_student_services,,,,,
23618,Fee to publish comment paper in open access journal,campus_life_and_student_services,,,,,
6937,"Rejected by fellowships, worrying about my future",campus_life_and_student_services,,,,,
5683,how to ask supervisor for a recommendation letter for scholarship?,campus_life_and_student_services,,,,,
16926,What should a PhD student do when he receives no feedback on his work except some reviews on his papers?,campus_life_and_student_services,,,,,
