question,intent,source,id
Should I mention the title of my published paper in a personal statement even though this paper is not in a top level?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22103
Should I mention reimbursements for financial expenditures when first contacting tentative speakers for a workshop?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32430
Are Canadian applicants favored in graduate admissions or funding for Canadian graduate programs?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13209
Is it legal to use tourist visa waiver for academic visits?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1116
Whether to change supervisor in UK Masters degree when supervisor is not providing much feedback and says I can change supervisor if I want?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23874
Question regarding career in Mathematics - I apologize if this is not the correct place to ask such a question. This is my first time using Stack Exchange. Please feel free to point m,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),21384
"Splitting publication fees among coauthors - What are accepted ways of splitting publication fees among coauthors, when authors are from different research groups and potentially even d",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),15697
Is it unwise to start a Ms/PhD program without a stipend - will it upset professors if I leave with a masters to apply to funded programs?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20200
How long should a CV for Masters application be?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25724
"How to tactfully ""decommit"" from projects? - As a young academic recently flown from the nest, I am starting to figure out my own research interests. I now feel like I have too many, th",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26887
How do I get feedback after a failed tenure-track job search?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32296
How to write a cover letter as proposing to apply for funding source with a professor,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),34077
"Conference Registration Fees are so high, is it normal?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9283
Legal responsibility of a university for international students (Europe),campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14629
How can I export my Google Scholar Library as a BibTeX format?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9965
Funding for Belgian student to do a PhD in UK?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),28423
Value of scientific community statement on brain training,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),10464
Complete financial statement as the part of scholarship application,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),27435
How Can I Get a full scholarship to a University by my Skills | as an International Student?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9959
No reply after almost two months since the first interview,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3510
How to ask for feedback from research students on my supervision abilities?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26848
How to avoid and address a lack of gender diversity in grant proposals?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),327
When/how can one be funded by multiple grants?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26280
Would a retired researcher mentor a postdoc with his/her own external funding? What about one without external funding?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31856
Why are there limits on scholarship amounts for graduate students?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13326
How to select the principal investigator in a group?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20064
Where should I look to see if any funding is available for an industry-based research to attend and present at academic conference?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8311
Using up grant money before a deadline - I am aware that grants often only provide the earned money over a certain period of time. And if the money is not used up by the end of that,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),17258
At which point in your PhD should you feel like you're in the edge of human knowledge/ know exactly what is your contribution?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),30555
European COST Actions - I would like to ask if you think  the European COST Actions are interesting for researchers? Do you see any potential advantage to join any,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31057
Studying at university - How do I get the motivation to study for a test for university? I was a high achiever in high school but I just don't feel motivated to stud,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24335
"Citing a reference multiple times - I am trying to write an introduction to a grant proposal (not for actual research, but because it is part of an assignment that was given to",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),10970
"Phd interview question - Just wondering if anyone has ever been asked this question during a PhD interview: If you get a place without funding, would you be able/wil",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12479
Idea stolen from proposal. What are my options?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23704
"How to determine whether a position is ""faculty-equivalent""?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),271
"How do professors spend their NSF grants? - If a professor receives $200,000 as the PI (not co-PI) from the NSF, how many PhD students can he/she take as Research Assistant (with yearl",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),7636
Difference between internal and external doctoral studies in Germany,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32242
How much of a grad-school dissertation fellowship should I personally keep?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29004
What do I do about my lab head misattributing my grant proposal?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),28208
How to calculate the rate to pay a recruiting agency for new students?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),28469
Scholarships and SOP - Should I mention that my work is providing me with a full scholarship to study my masters in my Statment of purpose?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24825
"Professor expects me to attend a conference. I can't afford to go,even with 50% funding",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13702
Using grants to make donations to institutions for using their resources/products?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9045
how to ask help from an area expert and getting feedback?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),11181
A potential PhD supervisor wants me to visit campus for an interview before I know if I'm accepted,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26413
Paper excluded from conference proceedings - Last year I submitted a paper to a IEEE conference that was going to be held in the US. I got funding from my university and registered to a,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20496
Why aren't there submission fees for submitting papers to conferences?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26073
Do I not have the personality for a PhD? - I've been in the PhD program for a couple years now and I feel like people have a lot of expectations about the way I should think and feel,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31601
What happens to NSF funding when someone passes away?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),6989
"Switching REU recommender, good excuse? - My professor who I thought would write me a stellar recommendation recently ceded that he feels he must be up front in my recommendation let",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23999
Sending students for conference presentation with no additional funding,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9806
What does it mean to be offered waived-fee OA publishing?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),6748
Can PhD students turn down teaching assistantships?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20599
Working as an Academic researcher difficulties,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29336
How to tell advisor I'm declining a scholarship?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12056
Rejecting a PhD offer after giving promise to the supervisor to work with him,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24368
Salary of Marie Skłodowska-Curie Actions Fellowships,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29149
"Why and how do professors go for sabbatical? - I read several questions about sabbatical leaves in this website. When checking a faculty list, it is common that some are on sabbatical lea",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2936
Can applicants answer faculty campus interview questions while checking their notes?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),30133
Professor is upset about student comments about her lectures. What should I do?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12532
Is it right to ask for a PhD position at a conference?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8634
Does it make sense to pay tuition fees for a PhD degree?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3603
Can I put a tuition fee remission on my CV under scholarships?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),33220
What should I do if I cannot afford a journal Article Processing Charge?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2182
Are there any known Universities that refuse to pay for paywall access to academic journals?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16625
How/whether to update PhD admissions committee about new scholarship,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),11056
Problems with gift authorships on papers and how to solve it,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1972
Is it common to ask for reference letters from members of the MSc thesis committee when applying for PhD/Scholarships?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3929
"Unemployed after 1st postdoc, what should my affiliation be when introduced during campus visit & job talk?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26580
Message board for finding private grants - I am a PhD student studying in the US and I am interested in finding research-grants relevant to the research area to which I have recently,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),15322
What is the typical cost of Summer Course education in the US?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),27827
How fungible are personnel salary allocations in an NIH grant?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),33322
Why are contributions to the education of the broader public not valued much within academia?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24152
Can I still ask my prospective advisor (guide) for a confirmation letter in the middle of Covid-19,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),6291
"Is it possible to run two postdocs simultaneously if one of them is ""independent""?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32827
What to mention as funding source as a graduate student funded by the school?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12349
"First paper, conference feedback - at all if rejected?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2707
Why aren't scientists richer? - I am an undergrad right now and I want to go into research. My question is not about whether I will be able to become rich (I am okay with a,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31944
"What is scholarship score in paper review? - I got paper reviews and I found there is an item scholarship,     Can anyone tell what is scholarship score mean in paper review?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25570
Asking research committee about on-campus interview,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16306
Can it be disadvantageous to actively publish in completely different fields?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),5146
Do US universities publish an official definition of what constitutes a particular race/ethnicity in the context of scholarships or admissions?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),128
How can I find a list of my co-authors for a grant conflict of interest?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),33337
Is TAing a necessary evil? - My understanding is that Masters and PhD students often need to TA -- even if they're already research assistants to a professor.   I'm a fi,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),4063
Getting a Research Grant for Carrying out Research as Independent Researcher in my home country,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20068
Host Institution - Marie-Curie individual fellowship,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18460
"If I use non-government funds to pay for flight on non-U.S. carrier, can I then use government funds for other costs of that trip?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31108
"In an interview, should I greet a professor I know in one of his speech?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8543
"Being personal in motivational letter - I'm starting to prepare my application for scholarships to do MSc in Europe. One of the requirements, of course, is the motivational letter.",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),19814
How to politely request payment for extra hours of TA service rendered?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),7626
What counts as a research experience in mathematics?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),33895
Could Brexit negatively affect PhD students in the UK who are EU nationals?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12655
"How do I get out of my problem of not achieving results, feelings of worthlessness, guilt and rejection?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),17535
Does the NSF support researchers with no academic affiliation?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13992
How to respond to a PhD supervisor? - I have contacted a potential PhD supervisor and he sent me back that I appear to be a motivated and interested student but  his funding does,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32905
"Strategy as to when to apply to PhD programs - I'm a master's student in CS at a top-20 school (in the US), in my second year (although it feels like my first year since I had to play cat",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),34138
What should I focus on when asking for conference travel support?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12770
How to phrase an email in response to an unreasonable action by a superior?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8011
Implications of being accepted without funding to a computer science PhD in the United States?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18346
How long does it take for PhD scholarship from DAAD,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14385
NSF postdoctoral fellowship eligibility requirements,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16561
Why do sites that host papers not have a comments section for each paper?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16129
Is repurposing money from companies easier than repurposing money from federal grants?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),27557
Graduate admission for mature Computer Science school teacher,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16905
Does giving compliments to the fellowship help?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),21406
"Do Professors Get An Education ""Allowance""? - One of the most common things I think any students has seen is walking into the office of a professor to a miniature library of textbooks an",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23840
How to get (a payed?) feedback with discussion?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),17788
Will I get rejected because PI cannot show funding?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),7564
My R01 application was re-assigned to a study section that doesn't seem like a good fit (NIH),campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),15335
ieee membership discount on overlength manuscripts,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),5747
Is it okay to join a self-funded PhD Program with possibility/intention of leaving in future for funded position,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14038
"Contacted the head of a group I want to join, but she didn't reply. What to do now?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1306
"Lack of passion from the beginning of my PhD - I chose my current PhD position because of funding limitation and the reputation of my institute last year. After a year, it's a disaster, b",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32851
How to disclose a major change in scope from orignal F31 submission,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23071
will a lab feel deterred from hiring me if my undergrad thesis is in a different subfield?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),15701
Thinking about quitting the Ph.D. because I feel depressed in this town?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22618
What is a concise citation format for grant proposals given constraints on page counts?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18751
How to get feedback on unfinished research papers if I don't have any direct contact with people qualified in my field?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20027
"Date of PhD award Oxbridge - This question is similar to the date of PhD award in France, but for the case of Oxbridge (maybe all of UK, but I don't know). There is the",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1810
"Good questions for post-class survey - In order to get feedback more quickly, I've seen some teachers run a quick (certainly no more than 5 minutes), entirely optional, anonymous",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25564
Missing funding deadline for serious reasons: what to do?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),34076
Who evaluates Marie Curie Intra-European Fellowship proposals?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),784
Applying to a full time lecturer post in the UK in a psychology related field,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29012
"How is tenure-track start-up in Europe? - After 2 postdoc positions, I applied for tenure-track assistant professor positions. I am from mechanical engineering and my research is str",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),30811
Researcher with Startup Company - Conflicts of Interest?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),999
Asking the other professor (as other paper's co-author) to cover the conference expenses,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),5159
What happens when a PhD student finishes the thesis but is forced to defend way after the contract ends?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24924
Feeling regret for sending my code to my classmate,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),21578
Can a researcher hire 100% themself with funds from H2020 project (or other call)?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32017
"What's the difference between ""research grant"" and ""fellowship"" ? (what to choose for a postdoc?)",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9061
Should I feel bad for applying to two postdoc positions?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8138
Do price and value of degrees correlate much?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29058
What are the options for fellowships for international grad students in USA?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),6642
Is it appropriate to bring coffee and cookies to a PhD defense?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14635
Finding and requesting research funds from private sponsors for basic research with low short term marketability value,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13430
Current adviser trying to switch me to a different adviser,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),19114
Going to study PhD abroad with weak economic backing?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),15817
"Sources to cover open-access fees - As this question mentions and as I know from my (limited) experience, some journals demand a high fee to make the articles you submit to be",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1812
Should I apply for the scholarships if I currently have a RA position in my supervisor lab?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18970
"APA citation: book versus electronic book - I obtain many of my reading sources from online, instead of form a hardcopy in the library, even for books or book sections. The APA citatio",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),19428
"Reviews, feedback and comments from collaborators/supervisors when writing in RMarkdown",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),19630
Do grad students in the USA typically have more or less student debt than undergrads?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16686
Where to find successful proposals of previous ERC calls?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31243
Overly long review process (>2 years) without feedback,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31855
"If I request a paper through my university library, must they pay a substantial amount of money?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),24662
How do theorists obtain summer funding after the beginning of February?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32826
"If interviewing for a postdoc by Skype, how to get a feel for the lab culture?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),17269
Grad student asking department for increase in stipend,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12703
How do I refuse to work on military-focused contracts?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14087
Where does the funding in business school PhD programs typically come from?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18342
"A faculty member turned me down because of lack of funding. If the university announces funding is available, should I apply anyway?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),10371
Is it legit to change from one university to another?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2884
Graduate student titles on funded research proposal,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16497
Funding situation if I have passed GATE but lack CSIR-JRF NET,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),9151
"As a graduate, is creating a log-in in the university online campus considered an acceptance of their offer?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16021
Should I take OSAP (student loans) even if I can pay for my tuition?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22157
How to solicit feedback from students about faculty candidates?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26395
how universities treat faculty according to teaching feedback questionaires filled by students,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20049
"Why do some fellowships require ""leadership experience""?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),27858
Phrasing for one current fellowship and one previous fellowship,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),5592
"Would a legitimate journal send unsolicited email to an author offering to feature an article in their own publication, for a fee?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8179
"At United States PhD programs, is the research / TA stipend taxed as income tax?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16671
How to best present a PhD application when moving from professional work without a masters or honours degree?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),16555
Should I mention about my governmental-funded PhD scholarship which I don't want to use,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),11470
Travel grant for summer conference between PhD and first job?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3532
How important is the availability of funding of a professor as a factor to determine one's thesis advisor?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22783
I used feedback from the code review SE for an assignment. Do I have to mark it?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),11402
Is paying researchers royalties for publications a bad idea?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25266
"I've been admitted to multiple PhD programs, how should I choose between them?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25919
"First year PhD without advisor, or experience, or a clue about research",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),32801
Can an applicant's funding offer for PhD programs in the US be taken back and given to someone who's already declined it?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),28087
Reviving a Rejected Proposal -- Question on Ethical Considerations,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),18983
Concern about possible conflicts between research sharing policies,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),3565
Search if a term already exists in an older research,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29581
Updating CV with Grant Funding Awarded but not used/PI internally but not externally on grants and contracts,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31675
How to acknowledge funding - This question expands a bit on my previous one Acknowledging funding.  I am unsure how to write proper acknowledgments at the end of a resea,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13377
How to feel less guilt about teaching? - I just got a permanent position. Hooray!  My question is the opposite of this one (that popped out as a suggestion from this site): How to c,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),14488
Should citations be included in funding applications,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12607
Is there funding for non-research related projects?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),21906
What are possible outcomes when a PhD cannot be completed during the funding period?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),13427
Is there any way to pressure textbook publishers to reduce price?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),20984
Can I withdraw an accepted paper if the fees are higher than expected because the proof is longer?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),23107
Does any country have free college & open admissions?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),5532
Is it ethical to submit a research proposal to multiple funding agencies?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),29461
How many on-campus interviews (for a tenure track math position) do you typically need to get one offer?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),908
Asking professors’ help on proposal - I am applying to a master program. The application requires a pre-proposal for a project that is relevant to scholarships. Although I have a,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),2125
Does the NSF award grants to foreign researchers not affiliated with US instutitions?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),8454
Does it cost universities less to teach online?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),26076
"Pre-submission peer review services - There are many websites offering pre-submission review services for a fee of several hunderd dollars, e.g., editage, editeon, enago and othe",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),30300
U.S. universities on-campus residence for International PhD students?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),7683
"As a Ph.D. advisor, how do you feel about taking on students with diagnosed depression or bipolar disorder?",campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),25636
Should I mention the reason I changed labs so often on my C.V. and/or cover letter? (Due to lack of funding),campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),1393
Time management as a TA in mathematics - I just started being a TA in mathematics at a university in continental Europe. My big problem is my time management: I feel like I don't ha,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),22075
Best way to poll students during a class by web,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),31746
What action can be taken if hostel allotments are not out just after admissions are done?,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),12354
Grant proposal: How to answer question about Promotion of equality and non-discrimination,campus_life_and_student_services,Hugging Face (StackExchange Academia QA Corpus),17811
